Date,DABUR.NS
2024-10-09,556.5607299804688
2024-10-10,563.11083984375
2024-10-11,562.2735595703125
2024-10-14,558.7769165039062
2024-10-15,562.4213256835938
2024-10-16,569.6116333007812
2024-10-17,563.9480590820312
2024-10-18,562.8153686523438
2024-10-21,559.6634521484375
2024-10-22,550.7000732421875
2024-10-23,550.30615234375
2024-10-24,532.8720703125
2024-10-25,530.6066284179688
2024-10-28,545.3812866210938
2024-10-29,527.7994384765625
2024-10-30,538.4371948242188
2024-10-31,531.8870849609375
2024-11-01,534.3987426757812
2024-11-04,526.9129638671875
2024-11-05,526.8143920898438
2024-11-06,531.4931030273438
2024-11-07,526.4696655273438
2024-11-08,526.22216796875
2024-11-11,517.55908203125
2024-11-12,505.43072509765625
2024-11-13,505.7772521972656
2024-11-14,503.0545654296875
